SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,10/20/1995 12:00:00 AM,2.76,2.8,2.75,2.79215,759999.966
HDFC.NS,D,10/23/1995 12:00:00 AM,2.79215,2.8,2.725,2.7541,419999.9812
HDFC.NS,D,10/24/1995 12:00:00 AM,2.765,2.797,2.76005,2.7902,319999.9857
HDFC.NS,D,10/25/1995 12:00:00 AM,2.72005,2.72005,2.7,2.7087,89999.99598
HDFC.NS,D,10/26/1995 12:00:00 AM,2.73295,2.785,2.73295,2.76095,2419999.892
HDFC.NS,D,10/27/1995 12:00:00 AM,2.76095,2.769,2.711,2.75585,779999.9651
HDFC.NS,D,10/30/1995 12:00:00 AM,2.75585,2.765,2.72,2.7411,1439999.936
HDFC.NS,D,10/31/1995 12:00:00 AM,2.72405,2.74395,2.72405,2.73675,599999.9732
HDFC.NS,D,11/1/1995 00:00:00,2.75,2.76,2.74,2.7437,599999.9732
HDFC.NS,D,11/2/1995 00:00:00,2.7437,2.75,2.724,2.724,569999.9745
HDFC.NS,D,11/3/1995 00:00:00,2.7,2.7,2.675,2.7,359999.9839
HDFC.NS,D,11/6/1995 00:00:00,2.7,2.7,2.6,2.6,279999.9875
HDFC.NS,D,11/7/1995 00:00:00,2.59,2.6,2.55605,2.58215,379999.983
HDFC.NS,D,11/8/1995 00:00:00,2.555,2.555,2.525,2.55215,969999.9566
HDFC.NS,D,11/9/1995 00:00:00,2.55215,2.555,2.52005,2.52005,689999.9692
HDFC.NS,D,11/10/1995 00:00:00,2.499,2.499,2.45025,2.45065,789999.9647
HDFC.NS,D,11/13/1995 12:00:00 AM,2.45065,2.46,2.355,2.3714,749999.9665
HDFC.NS,D,11/14/1995 12:00:00 AM,2.3714,2.405,2.351,2.4012,2479999.889
HDFC.NS,D,11/15/1995 12:00:00 AM,2.4012,2.427,2.391,2.4198,1049999.953
HDFC.NS,D,11/16/1995 12:00:00 AM,2.4198,2.44,2.41505,2.42525,539999.9759
HDFC.NS,D,11/17/1995 12:00:00 AM,2.42525,2.475,2.39,2.47415,1209999.946
HDFC.NS,D,11/20/1995 12:00:00 AM,2.44,2.44,2.421,2.431,569999.9745
HDFC.NS,D,11/21/1995 12:00:00 AM,2.431,2.445,2.415,2.44,869999.9611
HDFC.NS,D,11/22/1995 12:00:00 AM,2.43,2.43,2.402,2.41625,909999.9593
HDFC.NS,D,11/23/1995 12:00:00 AM,2.401,2.425,2.375,2.4201,2099999.906
HDFC.NS,D,11/24/1995 12:00:00 AM,2.4201,2.45,2.40025,2.429,899999.9598
HDFC.NS,D,11/27/1995 12:00:00 AM,2.435,2.45,2.435,2.44,839999.9624
HDFC.NS,D,11/28/1995 12:00:00 AM,2.42,2.42,2.407,2.41545,1729999.923
HDFC.NS,D,11/29/1995 12:00:00 AM,2.415,2.415,2.38,2.3992,2369999.894
HDFC.NS,D,11/30/1995 12:00:00 AM,2.3992,2.41,2.375,2.397,379999.983
HDFC.NS,D,12/1/1995 00:00:00,2.397,2.422,2.39,2.42045,679999.9696
HDFC.NS,D,12/4/1995 00:00:00,2.42045,2.428,2.41,2.425,3379999.849
HDFC.NS,D,12/5/1995 00:00:00,2.415,2.43,2.41,2.4258,529999.9763
HDFC.NS,D,12/6/1995 00:00:00,2.42,2.435,2.42,2.43235,1349999.94
HDFC.NS,D,12/7/1995 00:00:00,2.43235,2.45,2.431,2.445,359999.9839
HDFC.NS,D,12/8/1995 00:00:00,2.465,2.495,2.45,2.4802,1239999.945
HDFC.NS,D,12/11/1995 00:00:00,2.464,2.464,2.402,2.4578,1279999.943
HDFC.NS,D,12/12/1995 00:00:00,2.4578,2.474,2.426,2.46605,859999.9616
HDFC.NS,D,12/13/1995 12:00:00 AM,2.46605,2.5,2.461,2.495,579999.9741
HDFC.NS,D,12/14/1995 12:00:00 AM,2.5,2.55,2.5,2.51525,519999.9768
HDFC.NS,D,12/15/1995 12:00:00 AM,2.5,2.5,2.46,2.49725,429999.9808
HDFC.NS,D,12/18/1995 12:00:00 AM,2.531,2.54,2.495,2.5387,1929999.914
HDFC.NS,D,12/19/1995 12:00:00 AM,2.5387,2.54,2.52,2.53475,1089999.951
HDFC.NS,D,12/20/1995 12:00:00 AM,2.53475,2.637,2.53,2.63655,3859999.827
HDFC.NS,D,12/21/1995 12:00:00 AM,2.62375,2.62375,2.56,2.62,739999.9669
HDFC.NS,D,12/22/1995 12:00:00 AM,2.62,2.675,2.611,2.65415,1069999.952
HDFC.NS,D,12/26/1995 12:00:00 AM,2.65415,2.7,2.6521,2.68575,789999.9647
HDFC.NS,D,12/27/1995 12:00:00 AM,2.68575,2.721,2.67,2.69695,1079999.952
HDFC.NS,D,12/28/1995 12:00:00 AM,2.69695,2.725,2.675,2.70025,729999.9674
HDFC.NS,D,12/29/1995 12:00:00 AM,2.70025,2.705,2.685,2.7036,1079999.952
HDFC.NS,D,1/1/1996 00:00:00,2.67,2.67,2.64,2.6692,499999.9776
HDFC.NS,D,1/2/1996 00:00:00,2.6692,2.71,2.65,2.7062,1469999.934
HDFC.NS,D,1/3/1996 00:00:00,2.69,2.69,2.666,2.679,409999.9817
HDFC.NS,D,1/4/1996 00:00:00,2.679,2.70955,2.653,2.7045,2599999.884
HDFC.NS,D,1/5/1996 00:00:00,2.7045,2.709,2.665,2.70115,1989999.911
HDFC.NS,D,1/8/1996 00:00:00,2.695,2.695,2.67205,2.677,629999.9718
HDFC.NS,D,1/9/1996 00:00:00,2.677,2.73,2.66,2.72355,2719999.878
HDFC.NS,D,1/10/1996 00:00:00,2.703,2.703,2.64,2.64,2339999.895
HDFC.NS,D,1/11/1996 00:00:00,2.6295,2.6295,2.566,2.6295,1259999.944
HDFC.NS,D,1/12/1996 00:00:00,2.6295,2.66,2.62005,2.65535,609999.9727
HDFC.NS,D,1/15/1996 12:00:00 AM,2.65,2.65,2.61,2.616,1709999.924
HDFC.NS,D,1/16/1996 12:00:00 AM,2.616,2.65,2.595,2.63605,3629999.838
HDFC.NS,D,1/17/1996 12:00:00 AM,2.63605,2.66,2.601,2.616,889999.9602
HDFC.NS,D,1/18/1996 12:00:00 AM,2.616,2.65,2.59,2.64,1249999.944
HDFC.NS,D,1/19/1996 12:00:00 AM,2.64,2.6545,2.618,2.65175,6579999.706
HDFC.NS,D,1/22/1996 12:00:00 AM,2.65175,2.665,2.63,2.6524,1069999.952
HDFC.NS,D,1/23/1996 12:00:00 AM,2.6524,2.675,2.645,2.65575,2489999.889
HDFC.NS,D,1/24/1996 12:00:00 AM,2.655,2.655,2.61,2.6354,899999.9598
HDFC.NS,D,1/25/1996 12:00:00 AM,2.6354,2.66,2.4,2.65075,203839990.9
HDFC.NS,D,1/29/1996 12:00:00 AM,2.65075,2.665,2.584,2.65235,3349999.85
HDFC.NS,D,1/30/1996 12:00:00 AM,2.65235,2.7,2.646,2.65,2049999.908
HDFC.NS,D,1/31/1996 12:00:00 AM,2.65,2.675,2.65,2.6521,2529999.887
HDFC.NS,D,2/1/1996 00:00:00,2.6521,2.659,2.65,2.65075,879999.9607
HDFC.NS,D,2/2/1996 00:00:00,2.65075,2.685,2.6,2.66815,3919999.825
HDFC.NS,D,2/5/1996 00:00:00,2.66815,2.7,2.65,2.65785,759999.966
HDFC.NS,D,2/6/1996 00:00:00,2.65785,2.675,2.65,2.6556,3689999.835
HDFC.NS,D,2/7/1996 00:00:00,2.65,2.65,2.612,2.6474,599999.9732
HDFC.NS,D,2/8/1996 00:00:00,2.6474,2.75,2.63475,2.7394,3329999.851
HDFC.NS,D,2/9/1996 00:00:00,2.7394,2.87,2.71,2.8469,4269999.809
HDFC.NS,D,2/12/1996 00:00:00,2.8469,2.86,2.752,2.82985,2009999.91
HDFC.NS,D,2/13/1996 12:00:00 AM,2.795,2.795,2.741,2.7687,1169999.948
HDFC.NS,D,2/14/1996 12:00:00 AM,2.775,2.9,2.775,2.8344,3649999.837
HDFC.NS,D,2/15/1996 12:00:00 AM,2.8344,2.85,2.793,2.83525,2909999.87
HDFC.NS,D,2/16/1996 12:00:00 AM,2.8,2.8,2.75,2.7827,1059999.953
HDFC.NS,D,2/19/1996 12:00:00 AM,2.7827,2.849,2.775,2.82615,2529999.887
HDFC.NS,D,2/20/1996 12:00:00 AM,2.81495,2.81495,2.77625,2.77755,3019999.865
HDFC.NS,D,2/22/1996 12:00:00 AM,2.77755,2.79,2.76505,2.7878,2449999.89
HDFC.NS,D,2/23/1996 12:00:00 AM,2.785,2.785,2.75,2.7696,1149999.949
HDFC.NS,D,2/26/1996 12:00:00 AM,2.7696,2.775,2.751,2.76485,1289999.942
HDFC.NS,D,2/27/1996 12:00:00 AM,2.76485,2.779,2.74,2.7609,3849999.828
HDFC.NS,D,2/28/1996 12:00:00 AM,2.7609,2.79,2.75,2.7696,989999.9557
HDFC.NS,D,2/29/1996 12:00:00 AM,2.7696,2.775,2.735,2.77375,10349999.54
HDFC.NS,D,3/1/1996 00:00:00,2.77375,2.776,2.745,2.75795,38269998.29
HDFC.NS,D,3/4/1996 00:00:00,2.75795,2.77,2.75,2.7682,3449999.846
HDFC.NS,D,3/6/1996 00:00:00,2.7682,2.77,2.75,2.7652,609999.9727
HDFC.NS,D,3/7/1996 00:00:00,2.7652,2.78,2.76,2.76575,2979999.867
HDFC.NS,D,3/8/1996 00:00:00,2.76575,2.77,2.74605,2.75285,2289999.898
HDFC.NS,D,3/11/1996 00:00:00,2.75285,2.76,2.736,2.74905,3089999.862
HDFC.NS,D,3/12/1996 00:00:00,2.74905,2.775,2.735,2.76475,8369999.626
HDFC.NS,D,3/13/1996 12:00:00 AM,2.75005,2.75005,2.73,2.74,589999.9736
HDFC.NS,D,3/14/1996 12:00:00 AM,2.74,2.77,2.1,2.54475,1709999.924
HDFC.NS,D,3/15/1996 12:00:00 AM,2.74105,2.77495,2.74105,2.7572,1339999.94
HDFC.NS,D,3/18/1996 12:00:00 AM,2.7572,2.76,2.73105,2.76,1739999.922
HDFC.NS,D,3/19/1996 12:00:00 AM,2.76,2.76,2.737,2.7392,1739999.922
HDFC.NS,D,3/21/1996 12:00:00 AM,2.7392,2.7603,2.732,2.757,1879999.916
HDFC.NS,D,3/22/1996 12:00:00 AM,2.757,2.80005,2.731,2.7999,5719999.744
HDFC.NS,D,3/25/1996 12:00:00 AM,2.7999,2.875,2.7561,2.8638,5399999.759
HDFC.NS,D,3/26/1996 12:00:00 AM,2.8638,3.055,2.851,2.90885,8879999.603
HDFC.NS,D,3/27/1996 12:00:00 AM,2.92,3.04,2.92,3.0295,6029999.73
HDFC.NS,D,3/28/1996 12:00:00 AM,3.045,3.347,3.045,3.25015,20889999.07
HDFC.NS,D,3/29/1996 12:00:00 AM,3.25015,3.255,3.156,3.217,17679999.21
HDFC.NS,D,4/1/1996 00:00:00,3.217,3.2675,3.169,3.2615,10449999.53
HDFC.NS,D,4/2/1996 00:00:00,3.2615,3.2739,3.23,3.25525,6359999.716
